species_code,length_m,data_source
bp,19.33,drone
bp,15.81,drone
bw,22.59,drone
bw,22.21,drone
bw,22.53,drone
bw,22.75,drone
bw,20.7,drone
bw,22.55,drone
bw,21.09,drone
bw,21.98,drone
bw,23.35,drone
bw,22.51,drone
bw,24.12,drone
bw,24.43,drone
bw,21.77,drone
bw,22.93,drone
bw,24.2,drone
bw,23.59,drone
bw,22.82,drone
bw,22.09,drone
bw,20.37,drone
bw,23.12,drone
bw,22.7,drone
bw,21.6,drone
bw,19.27,drone
bw,22,drone
bw,22.9,drone
bw,21.98,drone
bw,25.18,drone
bw,22.83,drone
bw,22.06,drone
bw,20.16,drone
bw,24.49,drone
bw,21.8,drone
mn,13.7,drone
mn,12.71,drone
mn,12.71,drone
mn,10.1,drone
mn,10.44,drone
mn,12.17,drone
mn,10.49,drone
mn,8.22,drone
mn,8.8,drone
mn,10.2,drone
mn,12.73,drone
mn,11.76,drone
mn,10.55,drone
mn,14.76,drone
mn,7.07,drone
mn,11.76,drone
mn,9.78,drone
mn,12.21,drone
mn,11.19,drone
mn,11.69,drone
mn,11.97,drone
mn,13.13,drone
mn,10.6,drone
mn,12.71,drone
mn,12.93,drone
mn,12.38,drone
mn,7.82,drone
mn,13.1,drone
mn,11.65,drone
mn,9.99,drone
mn,7.87,drone
mn,12.3,drone
mn,12.3,drone
mn,12,drone
mn,11.66,drone
mn,11.75,drone
mn,12.31,drone
mn,12.35,drone
mn,10.03,drone
mn,11.77,drone
mn,13.61,drone
mn,11.41,drone
mn,10.44,drone
mn,12.49,drone
mn,12.89,drone
mn,13.06,drone
mn,13.35,drone
mn,11.27,drone
mn,11.8,drone
mn,11.86,drone
mn,10.4,drone
mn,12.04,drone
mn,11.75,drone
mn,11,drone
mn,11.64,drone
mn,12.88,drone
mn,12.92,drone
mn,10.37,drone
mn,9.01,drone
mn,11.91,drone
mn,12.65,drone
mn,10.53,drone
mn,11.12,drone
mn,13.42,drone
mn,10.68,drone
mn,11.03,drone
mn,12.73,drone
mn,11.59,drone
bw,21.34,drone
bw,21.39,drone
bw,21.64,drone
bw,23.21,drone
bw,23.34,drone
bw,21.58,drone
bw,20.33,drone
bw,22.53,drone
bp,14.3256,clapham_et_al_1997
bp,15.5448,clapham_et_al_1997
bp,15.5448,clapham_et_al_1997
bp,15.5448,clapham_et_al_1997
bp,15.5448,clapham_et_al_1997
bp,15.5448,clapham_et_al_1997
bp,15.5448,clapham_et_al_1997
bp,15.8496,clapham_et_al_1997
bp,15.8496,clapham_et_al_1997
bp,15.8496,clapham_et_al_1997
bp,15.8496,clapham_et_al_1997
bp,15.8496,clapham_et_al_1997
bp,16.1544,clapham_et_al_1997
bp,16.4592,clapham_et_al_1997
bp,16.764,clapham_et_al_1997
bp,16.764,clapham_et_al_1997
bp,17.0688,clapham_et_al_1997
bp,17.0688,clapham_et_al_1997
bp,17.3736,clapham_et_al_1997
bp,17.3736,clapham_et_al_1997
bp,17.3736,clapham_et_al_1997
